Loan_ID,Customer_ID,Loan_Amount,Loan_Type,Interest_Rate,Loan_Term,Loan_Status,Debt_to_Income_Ratio
LOAN011965,CUST00484,952378,Biz Loan,13.1,180,ONGOING,0.25
LOAN003999,CUST02910,3638664,Housing Loan,9.09,180,Closed,0.81
LOAN009997,CUST05347,4113705,Home Loan,9.73,N/A,Fully Paid,0.04
LOAN009242,CUST05735,439124,Personal Loan,13.68,36,nan,0.0
LOAN003228,CUST02950,Unknown,personal loan,13.85,240,#N/A,0.0
LOAN007167,CUST05707,241579,Personal Loan,14.66,240,ongoing,0.0
LOAN008009,#N/A,493929,Biz Loan,12.02,84,DEFAULT,0.58
LOAN000361,CUST05347,"364,443",personal loan,15.17,240,Active,0.0
LOAN001318,CUST00843,₹0,personal loan,13.16,120,paid,0.0
LOAN005494,CUST04084,"332,958",#N/A,15.16,60,Current,0.0
LOAN001468,CUST04599,671723,N/A,10.83,24,ACTIVE,0.0
LOAN000554,CUST00090,72147,personal loan,14.03,84,Ongoing,0.0
LOAN001950,CUST04084,1282408,Mortgage,8.94,12,NULL,0.01
LOAN010959,CUST05436,400146,education loan,9.37,24,PAID,0.0
LOAN004142,CUST00552,1089312,Car Loan,10.89,36,ACTIVE,0.0
LOAN000351,CUST05069,459638,N/A,12.1,24,active,0.0
LOAN003873,CUST01025,489104,Personal Loan,120,84,CLOSED,0.0
LOAN000404,CUST02933,999999999,Education Loan,10.36,84,Paid Off,0.0
LOAN000044,CUST01140,531105,Education Loan,8.8,240,Open,0.0
LOAN005041,CUST02173,1270431,CAR LOAN,10.79,N/A,Open,0.01
LOAN006953,CUST00247,,Personal Loan,,NULL,Paid Off,0.0
LOAN011300,CUST01025,1315913,BUSINESS LOAN,11.77,24,Open,0.01
LOAN008593,CUST05707,285954,Auto Loan,10.96,180,ongoing,0.0
LOAN004760,CUST05069,1072816,car loan,N/A,12,Open,0.01
LOAN008373,CUST01901,2879302,Home Loan,8.12,120,,0.0
LOAN011413,CUST00243,370744,PERSONAL LOAN,13.1,24,Closed,0.99
LOAN005849,CUST05069,657969,Vehicle Loan,9.47,48,Paid Off,0.0
LOAN009280,CUST05328,719325,Home Loan,9.33,120,Active,0.0
LOAN005890,CUST03839,308221,EDUCATION LOAN,10.36,36,Paid,0.0
LOAN000620,CUST03571,179329,Personal,14.56,12,active,0.0
LOAN010750,CUST00843,2358922,Housing Loan,8.75,84,PAID,0.0
LOAN006193,CUST05823,102950,Personal,15.3,120,CLOSED,0.0
LOAN007252,CUST05226,159413,Personal Loan,12.98,180,Closed,0.22
LOAN007054,CUST01500,"941,754",Biz Loan,11.84,24,Closed,0.0
LOAN008715,CUST01281,292691,personal loan,14.22,12,paid,0.0
LOAN002663,CUST01500,3413257,home loan,7.92,36,paid,0.01
LOAN003951,CUST04628,2968147,HOME LOAN,10.01,84,Paid Off,0.0
LOAN009860,CUST03189,206769,PL,12.47,N/A,Paid Off,0.0
LOAN008982,CUST05328,199697,Personal,12.94,240,Current, 
LOAN005154,CUST00552,59122,Personal,14.01,12,Ongoing,0.0
LOAN011740,CUST03189,1687314,HOME LOAN,7.66,48,PAID,0.0
LOAN005581,CUST05328,631389,BUSINESS LOAN,11.84,240,N/A,0.0
LOAN001653,CUST00090,1499488,Car Loan,9.86,84,Ongoing,0.0
LOAN003521,CUST03571,1258504,Car Loan,10.77,120,active,0.0
LOAN005190,CUST02643,332782,BUSINESS LOAN,11.8,48,Closed,0.0
LOAN006240,CUST04628,405944,personal loan,0,Unknown,active,0.0
LOAN004069,CUST05347,2377141,BUSINESS LOAN,14.04,120,DEFAULT,0.0
LOAN008821,Unknown,2718291,HOME LOAN,10.01,36,Bad Debt,0.99
LOAN010782,CUST04599,"₹-1,000",Unknown,9.6,24,CLOSED,0.01
LOAN011999,CUST00247,272260,personal loan,14.35,24,CLOSED,0.0
LOAN000638,CUST05823,250752,Vehicle Loan,11.33,240,#N/A,0.0
LOAN003144,CUST00307,381754,Car Loan,11.58,180,default,0.37
LOAN004918,CUST05328,1330144,CAR LOAN,10.95,180,ACTIVE,0.0
LOAN000586,CUST00015,419453,personal loan,21.12,nan,Bad Debt,0.0
LOAN007573,CUST05069,140775,Personal,11.77,24,ongoing,0.0
LOAN009269,CUST00090,509555,Car Loan,N/A,NULL,Ongoing,0.0
LOAN001165,CUST02933,1828660,Home Loan,9.57,60,active,0.0
LOAN010101,CUST00709,310997,PL,12.78,240,Active,-0.5
LOAN002440,CUST03824,4768573,Unknown,10.44,180,paid,0.0
LOAN003193,CUST04599,696640,HOME LOAN,7.25,12,Current,0.01
LOAN006761,CUST03571,489363,#N/A,13.91,120,Current,0.0
LOAN011775,CUST00546,395958, ,14.39,36,Bad Debt,0.9
LOAN011967,CUST05069,420240,PERSONAL LOAN,11.49,36,active,0.0
LOAN006447,CUST05347,4302029,Home Loan,9.07,60,Fully Paid,0.01
LOAN011964,CUST02882,567092,Business Loan,9.58,60,Default,0.78
LOAN001257,CUST04270,1844292,Biz Loan,12.22,120,Bad Debt,0.0
LOAN010136,CUST03222,751621,Education Loan,10.17,12,Closed,0.01
LOAN011960,CUST01281,1197787,Mortgage,9.17,60,CLOSED,0.0
LOAN001560,CUST00843,NULL,N/A,11.63,60,active,0.0
LOAN000791,CUST03189,Unknown,HOME LOAN,8.33,48,active,0.0
LOAN011570,CUST02295,2019003,Housing Loan,7.01,36,default,0.99
LOAN011830,CUST02845,309814,Personal Loan,13.47,N/A,active,0.63
LOAN005945,CUST01281,3288386,HOME LOAN,10.04,180,Unknown,0.0
LOAN003012,CUST04599,1883508,SME Loan,11.15,120,ACTIVE,0.0
LOAN011819,CUST03824,4165927,Housing Loan,9.39,120,paid,0.0
LOAN011919,CUST05347,0,Personal,13.47,60,Active,nan
LOAN006621,CUST01901,295882,personal loan,11.98,,Current,0.0
LOAN011323,CUST05823,318433,PL,15.11,240,CLOSED,0.0
LOAN000589,CUST05328,624220,Car Loan,11.65,84,PAID,0.0
LOAN010985,CUST02933,1128560,Car Loan,10.28,180,Active,0.0
LOAN001949,CUST00552,227493,Vehicle Loan,9.76,180,ongoing,0.0
LOAN006614,CUST03571,3192856,home loan,9.37,180,Defaulted,0.0
LOAN010368,CUST05328,1120775,Auto Loan,10.24,48,#N/A,0.0
LOAN011209,CUST05823,239604,Student Loan,11.11,Unknown,ongoing,0.0
LOAN007101,CUST04599,918326,Car Loan,10.21,84,Ongoing,0.0
LOAN004991,CUST05328,1471180,Auto Loan,11.47,60,Ongoing,0.0
LOAN005174,CUST02933,453998,Personal Loan,13.5,84,N/A,0.0
LOAN000075,CUST02643,930743,CAR LOAN,10.84,N/A,paid,0.0
LOAN006292,CUST00247,650848,business loan,12.62,12,Paid Off,0.01
LOAN009344,CUST02933,2059580,nan,11.42,120,Ongoing,Unknown
LOAN000891,CUST02933,2066339,Business Loan,12.59,240,Open,0.0
LOAN001711,CUST01500,4403654,Mortgage,7.08,240,Open,0.0
LOAN010353,CUST03280,4656278,Mortgage,9.6,84,Open,0.01
LOAN011898,CUST03824,455091,Personal,14.6,84,CHARGED OFF,0.0
LOAN009616,CUST03677,100638,Personal Loan,13.32,12,ongoing,0.0
LOAN005365,CUST05735,94062,PL,13.3,Unknown,Ongoing,0.0
LOAN008981,CUST03824,865792,CAR LOAN,11.43,120,ACTIVE,0.0
LOAN004160,CUST00709,3953628,home loan,8.98,240,Active,0.0
LOAN002738,CUST03280,116910,EDUCATION LOAN,9.75,120,Ongoing,0.0
LOAN008662,CUST00552,3963656,home loan,120,48,ONGOING,0.01
LOAN008660,CUST03571,845878,Housing Loan,8.91,60,Open,0.0
LOAN004309,CUST02950,1228899,Car Loan,10.34,180,Current,0.0
LOAN003156,CUST02984,nan,personal loan,12.62,24,CHARGED OFF,0.99
LOAN001498,CUST00552,N/A,Home Loan,7.84,48,Fully Paid,0.01
LOAN010381,CUST00709,"₹685,456",car loan,10.52,48,ongoing,0.0
LOAN001483,CUST05347,1287965,BUSINESS LOAN,13.64,60,ACTIVE,0.0
LOAN005890,CUST03839,308221,EDUCATION LOAN,10.36,36,Paid,0.0
LOAN005084,CUST00587,331345,Personal Loan,14.69,36,CLOSED,0.0
LOAN009368,CUST01140,1209253,BUSINESS LOAN,11.5,60,ongoing,0.0
LOAN001432,CUST00843,366429,CAR LOAN,8.99,180,Fully Paid,0.0
LOAN004528,CUST03222,2498822,business loan,12.67,120,paid,0.0
LOAN002547,CUST03824,425955,Personal Loan,14.36,48,Fully Paid,0.0
LOAN001960,CUST03581,811123,car loan,8.65,180,active,0.34
LOAN001789,CUST05347,2055979,Housing Loan,10.17,120,Current,0.0
LOAN006256,CUST00090,2694760,Housing Loan,9.61,48,CLOSED,
LOAN003702,CUST05735,647460,car loan,9.67,24,Closed,0.0
LOAN008024,CUST05347,1911838,BUSINESS LOAN,12.87,24,active,0.01
LOAN007338,CUST05823,1020369,Car Loan,10.96,12,Open,0.01
LOAN007769,CUST05990,1964815,Mortgage,10.31,240,Bad Debt,0.81
LOAN008864,CUST03562,691866,EDUCATION LOAN,10.73,12,ACTIVE,0.01
LOAN008354,CUST00552,298935,Car Loan,10.04,48,ongoing,0.0
LOAN002542,CUST03824,811424,Business Loan,13.85,240,Open,nan
LOAN000252,CUST03189,4186084,home loan,7.98,48,CLOSED,0.01
LOAN004164,CUST04084,485892,PERSONAL LOAN,13.34,48,default,0.0
LOAN001262,CUST00090,761313,Vehicle Loan,11.5,120,Ongoing,0.0
LOAN008953,CUST00247,653808,Vehicle Loan,11.11,24,Ongoing,0.0
LOAN004005,CUST04827,460479,CAR LOAN,10.35,48,Active,99
LOAN001022,CUST02933,1128194,Vehicle Loan,10.85,36,Current,0.0
LOAN008651,CUST05347,"₹87,827",PERSONAL LOAN,14.73,-12,Active,0.0
LOAN007384,CUST05328,152007,personal loan,13.76,180,CLOSED,0.0
LOAN009921,CUST05069,97525,PERSONAL LOAN,12.22,NULL,Current,0.0
LOAN006788,CUST00090,1346797,business loan,12.15,36,ongoing,0.0
LOAN007014,CUST04628,212739,PERSONAL LOAN,12.98,24,CLOSED,0.0
LOAN008718,CUST02950,1172078,CAR LOAN,10.74,48,Closed,0.0
LOAN011127,CUST03571,1425919,Vehicle Loan,11.15,24,Closed,0.01
LOAN005761,CUST05707,92516,PL,14.81,180,ACTIVE,2.5
LOAN008752,CUST03824,1101324,Vehicle Loan, ,60, ,0.0
LOAN005931,CUST04827,191590,education loan,10.23,12,Paid,0.0
LOAN001316,CUST05328,105457,PERSONAL LOAN,13.27,120,Fully Paid,0.0
LOAN002248,CUST01901,NULL,PL,13.39,84,active,0.0
LOAN005731,CUST02950,206219,car loan,10.51,60,CLOSED,0.0
LOAN000282,CUST04084,4087291,Housing Loan,9.46,60,Ongoing,0.01
LOAN006693,CUST00552,3959423,Housing Loan,9.81,84,Ongoing,0.01
LOAN000670,CUST02950,553935,Car Loan,9.24,84,#N/A,0.0
LOAN005979,CUST00015,629515,Biz Loan,N/A,48,DEFAULT,0.0
LOAN001052,CUST03562,304978,PERSONAL LOAN,13.7,nan,CLOSED,0.0
LOAN008259,CUST01901,290699,PERSONAL LOAN,11.63,60,ongoing,0.0
LOAN005232,CUST00709,302362,EDUCATION LOAN,9.9,48,Fully Paid,0.0
LOAN007336,CUST03222,964103,CAR LOAN,9.86,24,active,#N/A
LOAN011907,CUST04827,1818147,Business Loan,12.43,24,Paid,0.01
LOAN000156,CUST02697,3784562,Mortgage,nan,24,Unknown,0.99
LOAN006226,CUST05707,1457042,car loan,12.18,84,ACTIVE,0.0
LOAN009211,CUST04599,3682846,Mortgage,7.44,36,ONGOING,N/A
LOAN004103,CUST05707,1109218,Auto Loan,12.21,36,Active,0.0
LOAN010995,CUST02173,528861,Edu Loan,10.65,N/A,PAID,0.0
LOAN005466,CUST05735,139139,PERSONAL LOAN,11.94,36,Ongoing,0.0
LOAN001349,CUST00843,834168,CAR LOAN,9.93,36,#N/A,0.0
LOAN004403,CUST04628,150409,personal loan,13.1,240,Paid,0.0
LOAN003159,CUST03222,100163,Personal Loan,14.34, ,CLOSED,0.0
LOAN011163,CUST03571,"655,128",Biz Loan,13.61,60,CLOSED,0.0
LOAN001805,CUST04827,2238311,HOME LOAN,9.43,180,Fully Paid,Unknown
LOAN003454,CUST03677,346299,Personal,12.5,120,Open,0.0
LOAN011941,CUST02950,443273,Business Loan,11.98,12,Fully Paid,0.0
LOAN001319,CUST02173,485128,Personal,13.21,12,ongoing,0.0
LOAN002471,CUST03571,516614,Student Loan,9.39,,ACTIVE,0.0
LOAN002721,CUST01500,522893,SME Loan,11.84,120,paid,0.0
LOAN007529,CUST05328,920685,car loan,11.15,180,Paid,0.0
LOAN008161,CUST03222,3654207,Mortgage,8.81,180,ONGOING,0.0
LOAN009523,CUST00587,528890,SME Loan,12.96,240,Ongoing,0.0
LOAN011704,CUST01081,889336,Auto Loan,9.7,12,N/A,0.99
LOAN007695,CUST04270,163689,PERSONAL LOAN,13.36,24,Ongoing,0.0
LOAN001944,CUST03571,NULL,Home Loan,8.39,240,active,0.0
LOAN001418,CUST04628,88341,Personal Loan,14.37,24,Active,0.0
LOAN008512,CUST02633,1564600,Home Loan,9.21,36,Unknown,0.99
LOAN003906,CUST02479,Unknown,education loan,9.76,180,ongoing,0.12
LOAN009594,CUST03124,310852,Personal Loan,14.7,12,Closed,0.99
LOAN010426,CUST03562,407747,Car Loan,11.46,120,Closed,0.0
LOAN008031,CUST00051,660847,Car Loan,#N/A,12,PAID,0.99
LOAN009414,CUST00090,4936507,home loan,8.91,180,Current,0.0
LOAN008786,CUST00015,"₹3,881,766",Mortgage, ,60,Paid Off,0.01
LOAN009581,CUST02339,1543315,Home Loan,9.32,12,Ongoing,0.99
LOAN004590,CUST02950,88766,Personal Loan,12.49,240,CLOSED,0.0
LOAN011486,CUST01500,4934526,Unknown,8.23,84,ONGOING,0.01
LOAN003974,CUST04599,#N/A,Vehicle Loan,8.66,180,ACTIVE,0.0
LOAN001077,CUST03677,403668,personal loan,12.86,60,ACTIVE,0.0
LOAN008109,CUST05707,1356242,Vehicle Loan, ,180,paid,0.0
LOAN006776,CUST02643,1097112,car loan,11.09,36,ACTIVE,0.0
LOAN000544,CUST04270,756109,Education Loan,10.2,48,ongoing,0.0
LOAN008613,CUST02950,653239,Edu Loan,8.65,60,PAID,0.0
LOAN010700,CUST05966,"147,294",Student Loan,NULL,36,Charged Off,0.94
LOAN006227,CUST04599,0,Personal Loan,12.92,nan,Paid Off,0.0
LOAN008507,CUST00247,488796,personal loan,13.39,12,Active,0.0
LOAN009947,CUST05823,"₹1,448,532",HOME LOAN,10.08,84,Closed,0.0
LOAN001801,CUST04628,1440314,CAR LOAN,10.68,180,active,0.0
LOAN010824,CUST01514,838224,Vehicle Loan,9.91,180,ongoing,0.24
LOAN003776,CUST00015,415881,PERSONAL LOAN,21.08,48,CLOSED,N/A
LOAN000507,CUST05707,1056140,Car Loan,10.44,240,active,0.0
LOAN005523,CUST00709,679076,Auto Loan,10.48,84,active,0.0
LOAN011461,CUST00552,727117,Auto Loan,10.46,48,active,0.0
LOAN009201,CUST03571,399658,PERSONAL LOAN,13.62,60,#N/A,0.0
LOAN002612,CUST05707,500566,Education Loan,9.95,60,Paid Off,0.0
LOAN007545,CUST05436,866884,Car Loan,9.55,12,Open,0.01
LOAN007577,CUST05823,"₹320,876",Auto Loan,10.64,180,paid,0.0
LOAN002677,CUST00587,237836,Auto Loan,11.44,240,Open,0.0
LOAN003946,CUST05469,2172439,home loan,9.31,24,paid,0.99
LOAN001488,CUST04628,585749,car loan,9.61,12,Current,0.01
LOAN006111,CUST03839,521876,HOME LOAN,9.53,120,Paid Off,0.0
LOAN011350,CUST05823,1053905,N/A,8.99,36,N/A,0.0
LOAN008871,CUST04628,335970,personal loan,13.3,24,CLOSED,0.0
LOAN008226,CUST01901,478041,PERSONAL LOAN,12.32,240,ONGOING,0.0
LOAN002210,CUST01500,323071,education loan,120,84,Closed,0.0
LOAN009596,CUST02933,2913874,Mortgage,9.17,120,Current,0.0
LOAN008076,CUST05620,1487046,Car Loan,11.33,48,Closed,0.99
LOAN011947,CUST01901,1122218,Mortgage,6.93,84, ,0.0
LOAN005791,CUST00015,Unknown,PERSONAL LOAN,20.16,24,Bad Debt,0.0
LOAN007764,CUST03140,604422,Student Loan,8.48,12,Defaulted,0.99
LOAN005558,CUST02839,804079,Vehicle Loan,10.99,36,PAID,0.99
LOAN010380,CUST00587,686374,Biz Loan,12.48,84,paid,0.0
LOAN003660,CUST03280,450037,personal loan,13.79,48,Paid,0.0
LOAN011763,CUST03839,277435,Auto Loan,10.19,120,Open,0.0
LOAN007484,CUST02173,383389,personal loan,12.87,48,Paid Off,0.0
LOAN009877,CUST03571,1755544,nan,9.64,240,ONGOING,0.0
LOAN000908,CUST04270,,Car Loan,10.53,36,Paid Off,0.0
LOAN008947,CUST00015,"₹1,986,046",SME Loan,20.2,12,Charged Off,0.02
LOAN010733,CUST02173,1886974,Housing Loan,9.07,180,Ongoing,nan
LOAN009942,CUST03677,190007,PL,11.7,36,active,0.0
LOAN006093,CUST04270,483128,Car Loan,11.54,180,Active,0.0
LOAN009004,CUST04827,263904,PL,nan,12,ongoing,0.0
LOAN000986,CUST03222,241872,Personal,13.73,84,NULL,0.0
LOAN004409,CUST00015,493168,education loan,17.78,120,Ongoing,0.0
LOAN007518,,265850,car loan,10.51,60,Open,0.0
LOAN009986,CUST04599,76324,Personal Loan,11.63,120,Paid,0.0
LOAN004154,CUST05823,572613,Mortgage,9.18,120,NULL,0.0
LOAN011580,CUST04270,944132,HOME LOAN,8.56,84,Current,0.0
LOAN005844,CUST05817,#N/A,Personal,14.89,24,DEFAULT,0.92
LOAN002909,CUST04827,287728,personal loan,12.92,84,Fully Paid,0.0
LOAN003387,CUST04599,1209326,car loan,9.19,24,Current,N/A
LOAN007801,CUST00247,280001,Vehicle Loan,9.83,12,Ongoing,0.0
LOAN001610,CUST04599,602058,Car Loan,9.7,60,ACTIVE,0.0
LOAN007486,CUST04027,167366,PERSONAL LOAN,nan,240,Closed,0.08
LOAN001575,CUST05464,"₹256,016",Auto Loan,10.65,120,Open,0.32
LOAN005959,CUST00843,3393618,Mortgage,7.24,24,ACTIVE,0.02
LOAN008780,CUST01281,3940988,Home Loan,8.64,120,Paid,0.0
LOAN011194,CUST05347,"₹403,793",PERSONAL LOAN,120,180,Active,0.0
LOAN010183,CUST02304,1048189,Vehicle Loan,11.06,84,paid,0.99
LOAN000027,CUST05328,703138,Biz Loan,12.53,120,Current,0.0
LOAN000888,CUST03562,1503418,SME Loan,12.94,60,DEFAULT,0.0
LOAN008219,CUST02173,560396,Car Loan,10.17,12,Ongoing,0.01
LOAN000359,CUST01500,547991,HOME LOAN,7.91,180,Current,0.0
LOAN005855,CUST03886,"₹66,198",PL,12.31,12,ONGOING,2.5
LOAN001512,CUST04599,122413,personal loan,11.6,180,ACTIVE,0.0
LOAN007241,CUST05069,270495,PERSONAL LOAN,12.38,36,Fully Paid,0.0
LOAN002739,CUST02950,703506,Unknown,9.38,84,Closed,Unknown
LOAN009895,CUST03189,779785,Car Loan,9.78,240,Active,NULL
LOAN001511,CUST00709,1002264,Mortgage,8.66,240,Active,0.0
LOAN009617,CUST04967,4101985,Mortgage,8.4,36,nan,0.99
LOAN005413,CUST02933,303780,Auto Loan,10.5,24,Open,0.0
LOAN010135,CUST05707,"1,063,973",Housing Loan,10.86,48,Closed,0.0
LOAN005743,CUST03966,2006962,BUSINESS LOAN,#N/A,48,Defaulted,0.99
LOAN003782,CUST04827,2583234,Business Loan,13.25,48,ongoing,0.01
LOAN006627,CUST03222,138232,Personal Loan,0,240,Fully Paid,0.0
LOAN006126,CUST05069,1790798,Business Loan,10.63,12,Current,0.02
LOAN009412,CUST00587,646499,Car Loan,11.34,12,CLOSED,
LOAN004007,CUST03824,724731,CAR LOAN,11.94,24,Open,0.0
LOAN005231,CUST00552,498708,Education Loan,8.84,84,Fully Paid,0.0
LOAN011634,CUST04084,,Mortgage,9.7,36,Ongoing,0.01
LOAN009362,CUST03222,1843855,home loan,N/A,48,ACTIVE,0.0
LOAN004864,CUST03189,2199874,Home Loan,8.57,84,Fully Paid,0.0
LOAN007928,CUST03562,349822,education loan,12.03,24,Fully Paid,0.0
LOAN006401,CUST00015,96831,Personal Loan,21.43,36,Default,0.0
LOAN008481,CUST03839,2886849,Mortgage,8.47,12,ongoing,0.03
LOAN006779,CUST05823,4066435,Home Loan,10.65,48,active,0.01
LOAN009372,CUST05823,950543,CAR LOAN,12.14,84,nan,0.0
LOAN001815,CUST04084,nan,Auto Loan,12.04,84,ONGOING,0.0
LOAN003535,CUST03189,459868,Personal,11.61,24,Ongoing,0.0
LOAN003586,CUST05477,1867946,Home Loan,9.03,12,Charged Off,0.99
LOAN009714,CUST00247,142747,Personal,14.07,180,ACTIVE,0.0
LOAN000511,CUST00709,4152144,Housing Loan,8.72,60,ONGOING,0.01
LOAN005385,CUST04698,471933,PERSONAL LOAN,13.85,36,default,0.99
LOAN010796,CUST04245,1830112,HOME LOAN,11.11,240,Charged Off,0.99
LOAN008324,CUST01500,1481226,home loan,6.85, ,Current,0.01
LOAN005852,CUST04599,189655,Personal,12.74,24,PAID,0.0
LOAN011604,CUST05436,1840106,Mortgage,8.95,84,Closed,0.0
LOAN008831,CUST04874,1029748,Vehicle Loan,7.48,48,Default,0.99
LOAN002731,CUST01140,"₹477,040",EDUCATION LOAN,Unknown,24,Active,0.0
LOAN006702,CUST02901,502868,Education Loan,9.29,36,DEFAULT, 
LOAN000097,CUST04599,477749,CAR LOAN,9.86,180,Ongoing,0.0
LOAN002437,CUST00015,1576380,Mortgage,16.67,24,Paid,2.5
LOAN008548,CUST01988,1524841,SME Loan,12.21,120,DEFAULT,
LOAN006748,CUST03562,1905489,SME Loan,14.28,84,Closed,0.0
LOAN002556,CUST03571,403794,Car Loan,9.79,48,Active,0.0
LOAN004985,CUST03571,4405641,Mortgage,9.63,60,Current,0.01
LOAN011617,CUST05436,1339720,business loan,10.77,60,Open,0.0
LOAN007493,CUST01281,108787,EDUCATION LOAN,10.89,240,ongoing,0.0
LOAN000331,CUST04084,699092,EDUCATION LOAN,9.98,84,ongoing,0.0
LOAN010856,CUST05436,2327601,SME Loan,11.86,84,ongoing,0.0
LOAN011468,CUST03718,4233432,Mortgage,9.07,180,CHARGED OFF,0.99
LOAN000524,CUST02933,321777,Personal Loan,12.56,N/A,Fully Paid,0.0
LOAN006995,CUST03839,3317117,HOME LOAN,8.26,36,Open,0.01
LOAN009565,CUST01935,459214,Student Loan,8.61,180,Paid,N/A
LOAN001362,CUST03824,nan,PERSONAL LOAN,15.07,240,Open,0.0
LOAN004986,CUST03824,58552,PERSONAL LOAN,13.69,12,active,0.0
LOAN001983,CUST04599,2756069,Housing Loan,7.95,240,Paid Off,0.0
LOAN001464,CUST00977,449138,Personal,14.61,84,Current,0.59
LOAN010151,CUST04084,701015,Car Loan,12.18,120,ongoing,0.0
LOAN003176,CUST01140,162365,Personal Loan,13.1,60,Closed,0.0
LOAN003322,CUST04599,515506,Car Loan,9.61,12,ONGOING,0.01
LOAN005659,CUST04641,247100,PERSONAL LOAN,12.32,180,active,0.1
LOAN000568,CUST01025,1133540,home loan,8.05,120,Ongoing,0.0
LOAN007853,CUST05707,1148117,Car Loan,11.48,48,ongoing,0.0
LOAN002596,CUST01901,307410,personal loan,12.25,12,Open,0.0
LOAN004869,CUST01500,444729,personal loan,11.85,48,CLOSED,0.0
LOAN007797,CUST01025,1437159,Car Loan,9.7,60,Current,0.0
LOAN010760,CUST03824,2137323,HOME LOAN,10.3,48,Active,0.01
LOAN003826,CUST05823,405344,Edu Loan,10.55,180,Paid Off,0.0
LOAN008568,CUST01500,2966893,home loan,8.23,120,paid,0.0
LOAN002242,CUST02933,277702,PL,13.22,12,Paid Off,0.0
LOAN006182,CUST03571,436561,EDUCATION LOAN,10.04,24,paid,0.0
LOAN005386,CUST05735,138595,PL,N/A,36,Ongoing,0.0
LOAN007624,CUST00587,906741,#N/A,11.62,12,PAID,0.01
LOAN002152,CUST01901,337875,PERSONAL LOAN,12.04,84,Paid Off,0.0
LOAN011611,CUST05069,601816,Education Loan,8.1,180,Unknown,0.0
LOAN008502,CUST04599,712640,Home Loan,8.17,84,ACTIVE,#N/A
LOAN001948,CUST05436,2928721,HOME LOAN, ,36,ACTIVE,0.01
LOAN005912,CUST03562,792611,Car Loan,11.98,84,CLOSED,0.0
LOAN006468,CUST05707,nan,PERSONAL LOAN,14.91,84,,0.0
LOAN007673,CUST00090,363604,personal loan,13.57,180,ACTIVE,0.0
LOAN002223,CUST00015,1101802,BUSINESS LOAN,20.71,180,DEFAULT,0.0
LOAN006248,CUST05347,1224952,Mortgage,9.61,180,ONGOING,0.0
LOAN003356,CUST01025,1291695,N/A,#N/A,60,Ongoing,0.0
LOAN001158,CUST03280,193533,PERSONAL LOAN,14.8,12,ACTIVE,0.0
LOAN002137,CUST05823,429098,PL,14.27,,Bad Debt,0.0
LOAN004106,CUST04827,1433374,Car Loan,11.07,48,paid,0.0
LOAN008588,CUST03824,-1000,Car Loan,10.39,48,ongoing,0.0
LOAN000376,CUST03533,1416258,Car Loan,10.22,180,DEFAULT,0.99
LOAN005766,CUST04752,2240307,Mortgage,10.13,180,Closed,0.99
LOAN010528,CUST02950,3763990,Housing Loan,8.14,12,Current,0.04
LOAN000163,CUST04101,3004002,Home Loan,10.91,120,paid,0.99
LOAN010278,CUST02173,901985,Biz Loan,12.23,48,ongoing,0.0
LOAN009292,CUST05328,496125,Personal,12.94,180,Active,0.0
LOAN011254,CUST05436,Unknown,Personal Loan,13.12,84,Paid,0.0
LOAN011974,CUST05735,nan,Education Loan,9.87,180,Closed,0.0
LOAN002901,CUST03824,873574,Auto Loan,11.84,N/A,Fully Paid,0.0
LOAN004385,CUST03677,3240045,Mortgage,8.55,180,Open,0.0
LOAN003866,CUST04270,358947,Vehicle Loan,9.77,24,Current,0.0
LOAN004437,CUST04599,333594,personal loan,NULL,180,Paid Off,0.0
LOAN008623,CUST00552,308373,personal loan,12.63,84,Open,0.0
LOAN000725,CUST05328,3616326,Mortgage,9.42,24,Active,#N/A
LOAN010012,CUST03562,1558464,Business Loan,14.31,24,Paid,0.01
LOAN010644,CUST05328,596442,education loan,11.2,120,DEFAULT,0.0
LOAN002896,CUST03824,661119,Student Loan,10.23,60,CHARGED OFF,N/A
LOAN003070,CUST01011,Unknown,business loan,11.91,NULL,Closed,0.86
LOAN004720,CUST05277,NULL,HOME LOAN,10.09,12,Charged Off,0.99
LOAN006385,CUST03571,2203152,home loan,9.99,240,ONGOING,0.0
LOAN009926,CUST05436,1259326,Car Loan,9.93,36,ACTIVE,0.0
LOAN004016,CUST02643,1685970,Home Loan,8.67,60,Open,0.0
LOAN000089,CUST05069,3064362,Mortgage,7.12,48,Closed,0.01
LOAN005127,CUST04599,2644641,Biz Loan,11.25,120,Closed,0.0
LOAN003061,CUST00247,160285,PL,14.14,24,Ongoing,0.0
LOAN005397,CUST05823,#N/A,car loan,11.79,84,Ongoing,0.0
LOAN010336,CUST00090,2566728,HOME LOAN,8.86,24,Paid,0.01
LOAN001621,CUST00015,391751,personal loan,21.66,48,DEFAULT,0.0
LOAN008903,CUST02950,158006,personal loan,12.08,180,Paid,0.0
LOAN005412,CUST05069,226929,Personal,120,240,Paid Off,nan
LOAN004278,CUST00015,660088,Mortgage,15.77,NULL,Paid Off,N/A
LOAN011512,CUST02136,1285037,car loan,9.87,120,active,0.55
LOAN007189,CUST05069,999999999,car loan,9.29,120,ONGOING,0.0
LOAN005876,CUST04827,355706,Business Loan,11.42,60,Ongoing,0.0
LOAN010409,CUST04599,NULL,Mortgage,7.02,240,PAID,0.0
